Antartic.Year,Antarctic.Temp
14926,-4.25
14954,-5.52
14983,-2.3
15009,-4.54
15034,-5.1
15064,-5.09
15092,-4.05
15120,-4.17
15147,-4.5
15175,-4.36
15203,-4.76
15232,-5.16
15261,-5.72
15292,-5.47
15323,-5.66
15354,-5.51
15385,-5.74
15416,-5.7
15447,-4.75
15477,-5.11
15507,-5.35
15537,-6.01
15568,-5.19
15599,-6.37
15631,-4.8
15662,-5.39
15692,-5.25
15722,-5.61
15753,-5.32
15784,-5.62
15815,-5.82
15847,-6.18
15880,-5.39
15912,-6.66
15944,-5.91
15977,-5.96
16010,-6.46
16044,-6.9
16079,-6.76
16113,-5.94
16146,-6.1
16179,-6.07
16212,-6.22
16246,-7.41
16281,-6.44
16316,-6.12
16349,-6.76
16384,-6.79
16419,-6.75
16454,-6.86
16490,-8.15
16528,-7.05
16566,-7.44
16603,-7.15
16639,-6.82
16676,-8.83
16715,-7.37
16755,-8.21
16794,-8.11
16834,-8.23
16875,-9
16917,-7.74
16957,-7.8
16997,-8.38
17036,-7.38
17075,-8.66
17116,-7.4
17155,-9.37
17198,-8.5
17240,-8.4
17283,-9.11
17325,-8.39
17368,-9.08
17411,-9.54
17457,-9.47
17503,-9.47
17549,-9.7
17595,-8.13
17636,-8.97
17680,-9.74
17726,-8.9
17770,-8.87
17814,-9.54
17860,-9.82
17907,-9.64
17953,-9.21
17999,-9.25
18043,-8.94
18087,-9.18
18132,-9.45
18178,-9.41
18224,-9.36
18269,-9.51
18316,-9.4
18362,-10.35
18411,-8.67
18455,-9.26
18499,-8.56
18543,-9.92
18590,-9.21
18636,-9.61
18682,-9.36
18728,-9.02
18773,-9.69
18819,-8.84
18865,-10.12
18912,-9.34
18958,-8.44
19003,-10.43
19051,-9.89
19099,-8.52
19143,-9.54
19189,-9.34
19235,-7.81
19276,-9.55
19322,-8.91
19367,-9.96
19415,-9.16
19461,-9.75
19508,-9.62
19556,-10.19
19605,-9.37
19653,-10.19
19702,-9.93
19750,-8.94
19796,-8.84
19840,-8.53
19884,-9.51
19931,-10.43
