Species	Balaenoptera physalus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Archer, F. I., Morin, P. A., Hancock-Hanser, B. L., Robertson, K. M., Leslie, M. S., Bérubé, M., . . . Taylor, B. L. (2013). Mitogenomic Phylogenetics of Fin Whales: Genetic Evidence for Revision of Subspecies. PLoS One, 8(5), e63396. doi: 10.1371/journal.pone.0063396	Eastern US seaborder, Antarctica	Summer feeding area	https://datadryad.org/stash/dataset/doi:10.5061%2Fdryad.084g8
2	This study	Eastern US and Canadian seaborder	Summer feeding area	
				
Migrate data file name	Bphysalus_341mtDNA_391bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bphy0614	North	2		
Bphy0615	North	2		
Bphy0616	North	2		
Bphy0617	North	2		
Bphy0618	North	2		
Bphy0619	North	2		
Bphy0620	North	2		
Bphy0621	North	2		
Bphy0622	North	2		
Bphy0623	North	2		
Bphy0624	North	2		
Bphy0625	North	2		
Bphy0626	North	2		
Bphy0627	North	2		
Bphy0628	North	2		
Bphy0629	North	2		
Bphy0630	North	2		
Bphy0631	North	2		
Bphy0632	North	2		
Bphy0633	North	2		
Bphy0634	North	2		
Bphy0635	North	2		
Bphy0636	North	2		
Bphy0637	North	2		
Bphy0638	North	2		
Bphy0639	North	2		
Bphy0640	North	2		
Bphy0641	North	2		
Bphy0642	North	2		
Bphy0643	North	2		
Bphy0644	North	2		
Bphy0645	North	2		
Bphy0646	North	2		
Bphy0647	North	2		
Bphy0648	North	2		
Bphy0649	North	2		
Bphy0650	North	2		
Bphy0651	North	2		
Bphy0652	North	2		
Bphy0653	North	2		
Bphy0654	North	2		
Bphy0655	North	2		
Bphy0656	North	2		
Bphy0657	North	2		
Bphy0658	North	2		
Bphy0659	North	2		
Bphy0660	North	2		
Bphy0661	North	2		
Bphy0662	North	2		
Bphy0663	North	2		
Bphy0664	North	2		
Bphy0665	North	2		
Bphy0666	North	2		
Bphy0667	North	2		
Bphy0668	North	2		
Bphy0669	North	2		
Bphy0670	North	2		
Bphy0671	North	2		
Bphy0672	North	2		
Bphy0673	North	2		
Bphy0674	North	2		
Bphy0675	North	2		
Bphy0676	North	2		
Bphy0677	North	2		
Bphy0678	North	2		
Bphy0679	North	2		
Bphy0680	North	2		
Bphy0681	North	2		
Bphy0682	North	2		
Bphy0683	North	2		
Bphy0684	North	2		
Bphy0685	North	2		
Bphy0686	North	2		
Bphy0687	North	2		
Bphy0688	North	2		
Bphy0689	North	2		
Bphy0690	North	2		
Bphy0691	North	2		
Bphy0692	North	2		
Bphy0693	North	2		
Bphy0694	North	2		
