Species	Balaenoptera acutorostrata			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	322			
No. of DNA sequences	952			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	Pastene, L. A., Goto, M., Kanda, N., Zerbini, A. N., Kerem, D., Watanabe, K., … Palsbøll, P. J. (2007). Radiation and speciation of pelagic organisms during periods of global warming: The case of the common minke whale, Balaenoptera acutorostrata. Molecular Ecology, 16(7), 1481–1495. doi: 10.1111/j.1365-294X.2007.03244.x	Brazil	Winter breeding area	GenBank
2	This study	Eastern Canadian seaborder, West Greenland, Iceland, Barents Sea, Central and eeastern North	Summer feeding areas 	
				
Migrate data file name	Bacutorostrata_954mtDNA_322bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Bacu1332	North	2		
Bacu1333	North	2		
Bacu1334	North	2		
Bacu1335	North	2		
Bacu1336	North	2		
Bacu1337	North	2		
Bacu1338	North	2		
Bacu1339	North	2		
Bacu1340	North	2		
Bacu1341	North	2		
Bacu1342	North	2		
Bacu1343	North	2		
Bacu1344	North	2		
Bacu1345	North	2		
Bacu1346	North	2		
Bacu1347	North	2		
Bacu1348	North	2		
Bacu1349	North	2		
Bacu1350	North	2		
Bacu1351	North	2		
Bacu1352	North	2		
Bacu1353	North	2		
Bacu1354	North	2		
Bacu1355	North	2		
Bacu1356	North	2		
Bacu1357	North	2		
Bacu1358	North	2		
Bacu1359	North	2		
Bacu1360	North	2		
Bacu1361	North	2		
Bacu1362	North	2		
Bacu1363	North	2		
Bacu1364	North	2		
Bacu1365	North	2		
Bacu1366	North	2		
Bacu1367	North	2		
Bacu1368	North	2		
Bacu1369	North	2		
Bacu1370	North	2		
Bacu1371	North	2		
Bacu1372	North	2		
Bacu1373	North	2		
Bacu1374	North	2		
Bacu1375	North	2		
Bacu1376	North	2		
Bacu1377	North	2		
Bacu1378	North	2		
Bacu1379	North	2		
Bacu1380	North	2		
Bacu1381	North	2		
Bacu1382	North	2		
Bacu1383	North	2		
Bacu1384	North	2		
Bacu1385	North	2		
Bacu1386	North	2		
Bacu1387	North	2		
Bacu1388	North	2		
Bacu1389	North	2		
Bacu1390	North	2		
Bacu1391	North	2		
Bacu1392	North	2		
Bacu1393	North	2		
Bacu1394	North	2		
Bacu1395	North	2		
Bacu1396	North	2		
Bacu1397	North	2		
Bacu1398	North	2		
Bacu1399	North	2		
Bacu1400	North	2		
Bacu1401	North	2		
Bacu1402	North	2		
Bacu1403	North	2		
Bacu1404	North	2		
Bacu1405	North	2		
Bacu1406	North	2		
Bacu1407	North	2		
Bacu1408	North	2		
Bacu1409	North	2		
Bacu1410	North	2		
Bacu1411	North	2		
Bacu1412	North	2		
Bacu1413	North	2		
Bacu1414	North	2		
Bacu1415	North	2		
Bacu1416	North	2		
Bacu1417	North	2		
Bacu1418	North	2		
Bacu1419	North	2		
Bacu1420	North	2		
Bacu1421	North	2		
Bacu1422	North	2		
Bacu1423	North	2		
Bacu1424	North	2		
Bacu1425	North	2		
Bacu1426	North	2		
Bacu1427	North	2		
Bacu1428	North	2		
Bacu1429	North	2		
Bacu1430	North	2		
Bacu1431	North	2		
Bacu1432	North	2		
Bacu1433	North	2		
Bacu1434	North	2		
Bacu1435	North	2		
Bacu1436	North	2		
Bacu1437	North	2		
Bacu1438	North	2		
Bacu1439	North	2		
Bacu1440	North	2		
Bacu1441	North	2		
Bacu1442	North	2		
Bacu1443	North	2		
Bacu1444	North	2		
Bacu1445	North	2		
Bacu1446	North	2		
Bacu1447	North	2		
Bacu1448	North	2		
Bacu1449	North	2		
Bacu1450	North	2		
Bacu1451	North	2		
Bacu1452	North	2		
Bacu1453	North	2		
Bacu1454	North	2		
Bacu1455	North	2		
Bacu1456	North	2		
Bacu1457	North	2		
Bacu1458	North	2		
Bacu1459	North	2		
Bacu1460	North	2		
Bacu1461	North	2		
Bacu1462	North	2		
Bacu1463	North	2		
Bacu1464	North	2		
Bacu1465	North	2		
Bacu1466	North	2		
Bacu1467	North	2		
Bacu1468	North	2		
Bacu1469	North	2		
Bacu1470	North	2		
Bacu1471	North	2		
Bacu1472	North	2		
Bacu1473	North	2		
Bacu1474	North	2		
Bacu1475	North	2		
Bacu1476	North	2		
Bacu1477	North	2		
Bacu1478	North	2		
Bacu1479	North	2		
Bacu1480	North	2		
Bacu1481	North	2		
Bacu1482	North	2		
Bacu1483	North	2		
Bacu1484	North	2		
Bacu1485	North	2		
Bacu1486	North	2		
Bacu1487	North	2		
Bacu1488	North	2		
Bacu1489	North	2		
Bacu1490	North	2		
Bacu1491	North	2		
Bacu1492	North	2		
Bacu1493	North	2		
Bacu1494	North	2		
Bacu1495	North	2		
Bacu1496	North	2		
Bacu1497	North	2		
Bacu1498	North	2		
Bacu1499	North	2		
Bacu1500	North	2		
Bacu1501	North	2		
Bacu1502	North	2		
Bacu1503	North	2		
Bacu1504	North	2		
Bacu1505	North	2		
Bacu1506	North	2		
Bacu1507	North	2		
Bacu1508	North	2		
Bacu1509	North	2		
Bacu1510	North	2		
Bacu1511	North	2		
Bacu1512	North	2		
Bacu1513	North	2		
Bacu1514	North	2		
Bacu1515	North	2		
Bacu1516	North	2		
Bacu1517	North	2		
Bacu1518	North	2		
Bacu1519	North	2		
Bacu1520	North	2		
Bacu1521	North	2		
Bacu1522	North	2		
Bacu1523	North	2		
Bacu1524	North	2		
Bacu1525	North	2		
Bacu1526	North	2		
Bacu1527	North	2		
Bacu1528	North	2		
Bacu1529	North	2		
Bacu1530	North	2		
Bacu1531	North	2		
Bacu1532	North	2		
Bacu1533	North	2		
Bacu1534	North	2		
Bacu1535	North	2		
Bacu1536	North	2		
Bacu1537	North	2		
Bacu1538	North	2		
Bacu1539	North	2		
Bacu1540	North	2		
Bacu1541	North	2		
Bacu1542	North	2		
Bacu1543	North	2		
Bacu1544	North	2		
Bacu1545	North	2		
Bacu1546	North	2		
Bacu1547	North	2		
Bacu1548	North	2		
Bacu1549	North	2		
Bacu1550	North	2		
Bacu1551	North	2		
Bacu1552	North	2		
Bacu1553	North	2		
Bacu1554	North	2		
Bacu1555	North	2		
Bacu1556	North	2		
Bacu1557	North	2		
Bacu1558	North	2		
Bacu1559	North	2		
Bacu1560	North	2		
Bacu1561	North	2		
Bacu1562	North	2		
Bacu1563	North	2		
Bacu1564	North	2		
Bacu1565	North	2		
Bacu1566	North	2		
Bacu1567	North	2		
Bacu1568	North	2		
Bacu1569	North	2		
Bacu1570	North	2		
Bacu1571	North	2		
Bacu1572	North	2		
Bacu1573	North	2		
Bacu1574	North	2		
Bacu1575	North	2		
Bacu1576	North	2		
Bacu1577	North	2		
Bacu1578	North	2		
Bacu1579	North	2		
Bacu1580	North	2		
Bacu1581	North	2		
Bacu1582	North	2		
Bacu1583	North	2		
Bacu1584	North	2		
Bacu1585	North	2		
Bacu1586	North	2		
Bacu1587	North	2		
Bacu1588	North	2		
Bacu1589	North	2		
Bacu1590	North	2		
Bacu1591	North	2		
Bacu1592	North	2		
Bacu1593	North	2		
Bacu1594	North	2		
Bacu1595	North	2		
Bacu1596	North	2		
Bacu1597	North	2		
Bacu1598	North	2		
Bacu1599	North	2		
Bacu1600	North	2		
Bacu1601	North	2		
Bacu1602	North	2		
Bacu1603	North	2		
Bacu1604	North	2		
Bacu1605	North	2		
Bacu1606	North	2		
Bacu1607	North	2		
Bacu1608	North	2		
Bacu1609	North	2		
Bacu1610	North	2		
Bacu1611	North	2		
Bacu1612	North	2		
Bacu1613	North	2		
Bacu1614	North	2		
Bacu1615	North	2		
Bacu1616	North	2		
Bacu1617	North	2		
Bacu1618	North	2		
Bacu1619	North	2		
Bacu1620	North	2		
Bacu1621	North	2		
Bacu1622	North	2		
Bacu1623	North	2		
Bacu1624	North	2		
Bacu1625	North	2		
Bacu1626	North	2		
Bacu1627	North	2		
Bacu1628	North	2		
Bacu1629	North	2		
Bacu1630	North	2		
Bacu1631	North	2		
Bacu1632	North	2		
Bacu1633	North	2		
Bacu1634	North	2		
Bacu1635	North	2		
Bacu1636	North	2		
Bacu1637	North	2		
Bacu1638	North	2		
Bacu1639	North	2		
Bacu1640	North	2		
Bacu1641	North	2		
Bacu1642	North	2		
Bacu1643	North	2		
Bacu1644	North	2		
Bacu1645	North	2		
Bacu1646	North	2		
Bacu1647	North	2		
Bacu1648	North	2		
Bacu1649	North	2		
Bacu1650	North	2		
Bacu1651	North	2		
Bacu1652	North	2		
Bacu1653	North	2		
Bacu1654	North	2		
Bacu1655	North	2		
Bacu1656	North	2		
Bacu1657	North	2		
Bacu1658	North	2		
Bacu1659	North	2		
Bacu1660	North	2		
Bacu1661	North	2		
Bacu1662	North	2		
Bacu1663	North	2		
Bacu1664	North	2		
Bacu1665	North	2		
Bacu1666	North	2		
Bacu1667	North	2		
Bacu1668	North	2		
Bacu1669	North	2		
Bacu1670	North	2		
Bacu1671	North	2		
Bacu1672	North	2		
Bacu1673	North	2		
Bacu1674	North	2		
Bacu1675	North	2		
Bacu1676	North	2		
Bacu1677	North	2		
Bacu1678	North	2		
Bacu1679	North	2		
Bacu1680	North	2		
Bacu1681	North	2		
Bacu1682	North	2		
Bacu1683	North	2		
Bacu1684	North	2		
Bacu1685	North	2		
Bacu1686	North	2		
Bacu1687	North	2		
Bacu1688	North	2		
Bacu1689	North	2		
Bacu1690	North	2		
Bacu1691	North	2		
Bacu1692	North	2		
Bacu1693	North	2		
Bacu1694	North	2		
Bacu1695	North	2		
Bacu1696	North	2		
Bacu1697	North	2		
Bacu1698	North	2		
Bacu1699	North	2		
Bacu1700	North	2		
Bacu1701	North	2		
Bacu1702	North	2		
Bacu1703	North	2		
Bacu1704	North	2		
Bacu1705	North	2		
Bacu1706	North	2		
Bacu1707	North	2		
Bacu1708	North	2		
Bacu1709	North	2		
Bacu1710	North	2		
Bacu1711	North	2		
Bacu1712	North	2		
Bacu1713	North	2		
Bacu1714	North	2		
Bacu1715	North	2		
Bacu1716	North	2		
Bacu1717	North	2		
Bacu1718	North	2		
Bacu1719	North	2		
Bacu1720	North	2		
