Species	Megaptera novaeangliae			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	1586			
No. of DNA sequences	396			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	Jackson, J. A., Steel, D. J., Beerli, P., Congdon, B. C., Olavarria, C., Leslie, M. S., … Baker, C. S. (2014). Global diversity and oceanic divergence of humpback whales (\emph{Megaptera novaeangliae}). Proceedings of the Royal Society of London B Biological Sciences, 281(1786), 20133222. doi: 10.1098/rspb.2013.3222	South Atlantic Ocean	Winter breeding grounds	Dr. Jennifer Jackson, Personal communication 
2	This study	western North Atlantic Ocean	Winter breeding ground	
				
Migrate data file name	Mnovaeanliae_1586mtDNA_396bp_20170902_Migrate_2pop.txt			
Results figure(s)	4, S1 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Mnov1802	South	1		SP13_4
Mnov1803	South	1		SP13_5
Mnov1804	South	1		SP13_6
Mnov1805	South	1		SP13_7
Mnov1806	South	1		SP13_8
Mnov1807	South	1		SP13_9
Mnov1808	South	1		SP13_10
Mnov1809	South	1		SP13_11
Mnov1810	South	1		SP13_12
Mnov1811	South	1		SP14_1
Mnov1812	South	1		SP14_2
Mnov1813	South	1		SP14_3
Mnov1814	South	1		SP14_4
Mnov1815	South	1		SP14_5
Mnov1816	South	1		SP14_6
Mnov1817	South	1		SP14_7
Mnov1818	South	1		SP14_8
Mnov1819	South	1		SP14_9
Mnov1820	South	1		SP14_10
Mnov1821	South	1		SP14_11
Mnov1822	South	1		SP14_12
Mnov1823	South	1		SP14_13
Mnov1824	South	1		SP14_14
Mnov1825	South	1		SP14_15
Mnov1826	South	1		SP14_16
Mnov1827	South	1		SP14_17
Mnov1828	South	1		SP14_18
Mnov1829	South	1		SP19_1
Mnov1830	South	1		SP23_1
Mnov1831	South	1		SP23_2
Mnov1832	South	1		SP23_3
Mnov1833	South	1		SP24_1
Mnov1834	South	1		SP25_1
Mnov1835	South	1		SP25_2
Mnov1836	South	1		SP25_3
Mnov1837	South	1		SP25_4
Mnov1838	South	1		SP25_5
Mnov1839	South	1		SP25_6
Mnov1840	South	1		SP25_7
Mnov1841	South	1		SP25_8
Mnov1842	South	1		SP25_9
Mnov1843	South	1		SP25_10
Mnov1844	South	1		SP25_11
Mnov1845	South	1		SP25_12
Mnov1846	South	1		SP25_13
Mnov1847	South	1		SP27_1
Mnov1848	South	1		SP27_2
Mnov1849	South	1		SP27_3
Mnov1850	South	1		SP29_1
Mnov1851	South	1		SP29_2
Mnov1852	South	1		SP29_3
Mnov1853	South	1		SP29_4
Mnov1854	South	1		SP29_5
Mnov1855	South	1		SP3_1
Mnov1856	South	1		SP35_1
Mnov1857	South	1		SP35_2
Mnov1858	South	1		SP35_3
Mnov1859	South	1		SP35_4
Mnov1860	South	1		SP35_5
Mnov1861	South	1		SP35_6
Mnov1862	South	1		SP35_7
Mnov1863	South	1		SP35_8
Mnov1864	South	1		SP35_9
Mnov1865	South	1		SP38_1
Mnov1866	South	1		SP38_2
Mnov1867	South	1		SP38_3
Mnov1868	South	1		SP38_4
Mnov1869	South	1		SP38_5
Mnov1870	South	1		SP38_6
Mnov1871	South	1		SP38_7
Mnov1872	South	1		SP38_8
Mnov1873	South	1		SP38_9
Mnov1874	South	1		SP38_10
Mnov1875	South	1		SP38_11
Mnov1876	South	1		SP38_12
Mnov1877	South	1		SP38_13
Mnov1878	South	1		SP38_14
Mnov1879	South	1		SP38_15
Mnov1880	South	1		SP38_16
Mnov1881	South	1		SP38_17
Mnov1882	South	1		SP38_18
Mnov1883	South	1		SP4_1
Mnov1884	South	1		SP4_2
Mnov1885	South	1		SP4_3
Mnov1886	South	1		SP41_1
Mnov1887	South	1		SP42_1
Mnov1888	South	1		SP42_2
Mnov1889	South	1		SP42_3
Mnov1890	South	1		SP42_4
Mnov1891	South	1		SP42_5
Mnov1892	South	1		SP42_6
Mnov1893	South	1		SP42_7
Mnov1894	South	1		SP42_8
Mnov1895	South	1		SP45_1
Mnov1896	South	1		SP45_2
Mnov1897	South	1		SP45_3
Mnov1898	South	1		SP45_4
Mnov1899	South	1		SP45_5
Mnov1900	South	1		SP45_6
Mnov1901	South	1		SP54_1
Mnov1902	South	1		SP54_2
Mnov1903	South	1		SP54_3
Mnov1904	South	1		SP55_1
Mnov1905	South	1		SP57_1
Mnov1906	South	1		SP57_2
Mnov1907	South	1		SP57_3
Mnov1908	South	1		SP57_4
Mnov1909	South	1		SP57_5
Mnov1910	South	1		SP57_6
Mnov1911	South	1		SP57_7
Mnov1912	South	1		SP57_8
Mnov1913	South	1		SP57_9
Mnov1914	South	1		SP57_10
Mnov1915	South	1		SP57_11
Mnov1916	South	1		SP59_1
Mnov1917	South	1		SP59_2
Mnov1918	South	1		SP59_3
Mnov1919	South	1		SP59_4
Mnov1920	South	1		SP59_5
Mnov1921	South	1		SP62_1
Mnov1922	South	1		SP62_2
Mnov1923	South	1		SP62_3
Mnov1924	South	1		SP62_4
Mnov1925	South	1		SP67_1
Mnov1926	South	1		SP71_1
Mnov1927	South	1		SP71_2
