Species	Eubalaena spp. (Eaus: E. australis; Egla: E. glacialis)			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	391			
No. of DNA sequences	341			
				
Data source references:		Sample areas	Habitat	Links to source data files
1	This study	South Atlantic	Winter breeding area	
2	Valenzuela, L. O., Sironi, M., Rowntree, V. J., & Seger, J. (2009). Isotopic and genetic evidence for culturally inherited site fidelity to feeding grounds in southern right whales (Eubalaena australis). Molecular Ecology, 18(5), 782–791. doi: 10.1111/j.1365-294X.2008.04069.x	Argentina	Winter breeding area	GenBank
3	Malik, S., Brown, M. W., Kraus, S. D., Knowlton, A. R., Hamilton, P. K., & White, B. N. (1999). Assessment of mitochondrial DNA structuring and nursery use in the North right whale (Eubalaena glacialis). Canadian Journal of Zoology, 77(8), 1217–1222. doi: 10.1139/z99-073	eastern US & Canadian sea border	Summer nursing & feeding area	GenBank
				
Migrate data file name	Eubalaena_750mtDNA_381bp_20170827_Migrate_2pop.txt			
Results figure(s)	3, 4, 5, 6, 7, S1,  S3, S5 & S6			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source	GenBank_Accession_number	Source_DNA_sequence_identifier
Eaus1028	South	2	EU290502	
Eaus1029	South	2	EU290503	
Eaus1030	South	2	EU290504	
Eaus1031	South	2	EU290505	
Eaus1032	South	2	EU290506	
Eaus1033	South	2	EU290507	
Eaus1034	South	2	EU290508	
Eaus1035	South	2	EU290509	
Eaus1036	South	2	EU290510	
Eaus1037	South	2	EU290511	
Eaus1038	South	2	EU290512	
Eaus1039	South	2	EU290513	
Eaus1040	South	2	EU290514	
Eaus1041	South	2	EU290515	
Eaus1042	South	2	EU290516	
Eaus1043	South	2	EU290517	
Eaus1044	South	2	EU290518	
Eaus1045	South	2	EU290519	
Eaus1046	South	2	EU290520	
Eaus1047	South	2	EU290521	
Eaus1048	South	2	EU290522	
Eaus1049	South	2	EU290523	
Eaus1050	South	2	EU290524	
Eaus1051	South	2	EU290525	
Eaus1052	South	2	EU290526	
Eaus1053	South	2	EU290527	
Eaus1054	South	2	EU290528	
Eaus1055	South	2	EU290529	
Eaus1056	South	2	EU290530	
Eaus1057	South	2	EU290531	
Eaus1058	South	2	EU290532	
Eaus1059	South	2	EU290533	
Eaus1060	South	2	EU290534	
Eaus1061	South	2	EU290535	
Eaus1062	South	2	EU290536	
Eaus1063	South	2	EU290537	
Eaus1064	South	2	EU290538	
Eaus1065	South	2	EU290539	
Eaus1066	South	2	EU290540	
Eaus1067	South	2	EU290541	
Eaus1068	South	2	EU290542	
Eaus1069	South	2	EU290543	
Eaus1070	South	2	EU290544	
Eaus1071	South	2	EU290545	
Eaus1072	South	2	EU290546	
Eaus1073	South	2	EU290547	
Eaus1074	South	2	EU290548	
Eaus1075	South	2	EU290549	
Eaus1076	South	2	EU290550	
Eaus1077	South	2	EU290551	
Eaus1078	South	2	EU290552	
Eaus1079	South	2	EU290553	
Eaus1080	South	2	EU290554	
Eaus1081	South	2	EU290555	
Eaus1082	South	2	EU290556	
Eaus1083	South	2	EU290557	
Eaus1084	South	2	EU290558	
Eaus1085	South	2	EU290559	
Eaus1086	South	2	EU290560	
Eaus1087	South	2	EU290561	
Eaus1088	South	2	EU290562	
Eaus1089	South	2	EU290563	
Eaus1090	South	2	EU290564	
Eaus1091	South	2	EU290565	
Eaus1092	South	2	EU290566	
Eaus1093	South	2	EU290567	
Eaus1094	South	2	EU290568	
Eaus1095	South	2	EU290569	
Eaus1096	South	2	EU290570	
Eaus1097	South	2	EU290571	
Eaus1098	South	2	EU290572	
Eaus1099	South	2	EU290573	
Eaus1100	South	2	EU290574	
Eaus1101	South	2	EU290575	
Eaus1102	South	2	EU290576	
Eaus1103	South	2	EU290577	
Eaus1104	South	2	EU290578	
Eaus1105	South	2	EU290579	
Eaus1106	South	2	EU290580	
Eaus1107	South	2	EU290581	
Eaus1108	South	2	EU290582	
Eaus1109	South	2	EU290583	
Eaus1110	South	2	EU290584	
Eaus1111	South	2	EU290585	
Eaus1112	South	2	EU290586	
Eaus1113	South	2	EU290587	
Eaus1114	South	2	EU290588	
Eaus1115	South	2	EU290589	
Eaus1116	South	2	EU290590	
Eaus1117	South	2	EU290591	
Eaus1118	South	2	EU290592	
Egla0001	North	3	AF395039	
Egla0002	North	3	AF395039	
Egla0003	North	3	AF395039	
Egla0004	North	3	AF395039	
Egla0005	North	3	AF395039	
Egla0006	North	3	AF395039	
Egla0007	North	3	AF395039	
Egla0008	North	3	AF395039	
Egla0009	North	3	AF395039	
Egla0010	North	3	AF395039	
Egla0011	North	3	AF395039	
Egla0012	North	3	AF395039	
Egla0013	North	3	AF395039	
Egla0014	North	3	AF395039	
Egla0015	North	3	AF395039	
Egla0016	North	3	AF395039	
Egla0017	North	3	AF395039	
Egla0018	North	3	AF395039	
Egla0019	North	3	AF395039	
Egla0020	North	3	AF395039	
Egla0021	North	3	AF395039	
Egla0022	North	3	AF395039	
Egla0023	North	3	AF395039	
Egla0024	North	3	AF395039	
Egla0025	North	3	AF395039	
Egla0026	North	3	AF395039	
Egla0027	North	3	AF395039	
Egla0028	North	3	AF395039	
Egla0029	North	3	AF395039	
Egla0030	North	3	AF395039	
Egla0031	North	3	AF395039	
Egla0032	North	3	AF395039	
Egla0033	North	3	AF395039	
Egla0034	North	3	AF395039	
Egla0035	North	3	AF395039	
Egla0036	North	3	AF395039	
Egla0037	North	3	AF395039	
Egla0038	North	3	AF395039	
Egla0039	North	3	AF395039	
Egla0040	North	3	AF395039	
Egla0041	North	3	AF395039	
Egla0042	North	3	AF395039	
Egla0043	North	3	AF395039	
Egla0044	North	3	AF395039	
