Species	Balaena mysticetus			
Number of data sets	1			
				
Data set no.	1			
Locus	Mitochondrial control region			
DNA sequence lengh (in base pairs)	454			
No. of DNA sequences	395			
				
Source_referencess		Sample areas	Habitat	Links to source data files
1	This study	Arctic	Spring feeding habitat	NA
				
Migrate data file name	Bmysticetus_395mtDNA_454bp_20170828_Migrate_1pop.txt			
Results figure(s)	3, 4, 5, 6, S1 & S5			
				
Individual sample identifiers and data source				
Migrate_infile_sequence_identifier	Migrate_sample_partition	Data_source		
Bmys0362	North	1		
Bmys0363	North	1		
Bmys0364	North	1		
Bmys0365	North	1		
Bmys0366	North	1		
Bmys0367	North	1		
Bmys0368	North	1		
Bmys0369	North	1		
Bmys0370	North	1		
Bmys0371	North	1		
Bmys0372	North	1		
Bmys0373	North	1		
Bmys0374	North	1		
Bmys0375	North	1		
Bmys0376	North	1		
Bmys0377	North	1		
Bmys0378	North	1		
Bmys0379	North	1		
Bmys0380	North	1		
Bmys0381	North	1		
Bmys0382	North	1		
Bmys0383	North	1		
Bmys0384	North	1		
Bmys0385	North	1		
Bmys0386	North	1		
Bmys0387	North	1		
Bmys0388	North	1		
Bmys0389	North	1		
Bmys0390	North	1		
Bmys0391	North	1		
Bmys0392	North	1		
Bmys0393	North	1		
Bmys0394	North	1		
Bmys0395	North	1
